C1:1
C10:1
C11:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
G***:2
H1:1
H2:1
H3:1
H4:1
IC1:1
J1:1
J2:1
J3:1
J4:1
LED1:1
LED2:1
LED3:1
Q1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
Rprog1:1
SD1:1
SW1:1
SW2:4
SW3:1
SW4:1
SW5:1
SW6:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
